Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1928,-.02,-.09,-.25,-.28,-.30,-.39,-.19,-.23,-.21,-.19,-.09,-.16,-.20,-.21,-.15,-.27,-.27,-.16
1929,-.45,-.58,-.33,-.41,-.38,-.43,-.36,-.33,-.25,-.15,-.11,-.54,-.36,-.33,-.40,-.37,-.38,-.17
1930,-.30,-.26,-.10,-.24,-.24,-.22,-.21,-.15,-.15,-.12,.18,-.05,-.16,-.20,-.37,-.20,-.19,-.03
1931,-.10,-.20,-.10,-.23,-.20,-.08,-.04,-.04,-.07,.05,-.06,-.05,-.09,-.09,-.12,-.18,-.05,-.02
1932,.16,-.17,-.18,-.06,-.17,-.29,-.25,-.22,-.10,-.09,-.27,-.26,-.16,-.14,-.02,-.14,-.25,-.15
1933,-.23,-.29,-.29,-.24,-.29,-.34,-.21,-.24,-.29,-.24,-.30,-.44,-.28,-.27,-.26,-.27,-.26,-.28
1934,-.20,-.02,-.29,-.30,-.09,-.15,-.10,-.12,-.15,-.06,.04,-.02,-.12,-.16,-.22,-.23,-.12,-.06
1935,-.34,.14,-.14,-.37,-.29,-.27,-.21,-.22,-.21,-.06,-.26,-.16,-.20,-.19,-.07,-.26,-.23,-.17
1936,-.27,-.37,-.20,-.20,-.16,-.22,-.09,-.13,-.09,-.02,.02,.00,-.14,-.16,-.27,-.19,-.15,-.03
1937,-.07,.03,-.20,-.15,-.05,-.05,-.03,.01,.09,.09,.08,-.07,-.03,-.02,-.01,-.14,-.02,.09
1938,.09,.04,.10,.07,-.09,-.17,-.09,-.05,.01,.15,.08,-.12,.00,.00,.02,.03,-.10,.08
1939,-.04,-.06,-.17,-.10,-.04,-.07,-.05,-.06,-.07,-.04,.08,.43,-.02,-.06,-.07,-.10,-.06,-.01
1940,.00,.08,.09,.18,.11,.12,.12,.07,.15,.11,.16,.32,.13,.14,.17,.13,.10,.14
1941,.18,.31,.10,.16,.17,.13,.22,.15,.02,.35,.23,.22,.19,.19,.27,.14,.17,.20
1942,.29,.02,.06,.10,.11,.05,.00,-.04,-.03,.02,.10,.12,.07,.08,.18,.09,.00,.03
1943,-.01,.18,-.03,.11,.07,-.05,.09,.01,.06,.23,.20,.24,.09,.08,.10,.05,.01,.16
1944,.36,.25,.26,.20,.20,.16,.18,.18,.28,.26,.11,.04,.21,.22,.28,.22,.17,.22
1945,.10,.01,.06,.20,.06,.01,.04,.26,.21,.19,.07,-.06,.09,.10,.05,.11,.10,.16
1946,.15,.03,.01,.06,-.07,-.21,-.12,-.20,-.07,-.07,-.05,-.31,-.07,-.05,.04,.00,-.18,-.07
1947,-.06,-.08,.07,.06,-.01,-.02,-.04,-.07,-.12,.08,.03,-.13,-.02,-.04,-.15,.04,-.04,-.01
1948,.07,-.14,-.24,-.12,-.01,-.05,-.11,-.12,-.14,-.05,-.12,-.23,-.10,-.10,-.07,-.12,-.09,-.10
1949,.07,-.14,-.02,-.11,-.10,-.27,-.13,-.13,-.14,-.07,-.10,-.18,-.11,-.11,-.10,-.08,-.18,-.10
1950,-.26,-.27,-.07,-.21,-.11,-.05,-.08,-.16,-.11,-.20,-.34,-.21,-.17,-.17,-.23,-.13,-.10,-.22
1951,-.34,-.41,-.20,-.14,.00,-.06,-.01,.06,.05,.08,-.01,.16,-.07,-.10,-.32,-.11,.00,.04
1952,.11,.11,-.08,.03,-.03,-.03,.04,.05,.07,.00,-.13,-.02,.01,.03,.13,-.02,.02,-.02
1953,.07,.15,.11,.19,.12,.12,.01,.05,.05,.08,-.03,.05,.08,.08,.07,.14,.06,.03
1954,-.24,-.10,-.15,-.14,-.20,-.18,-.19,-.18,-.10,-.02,.08,-.18,-.13,-.11,-.10,-.16,-.18,-.01
1955,.14,-.16,-.32,-.22,-.20,-.14,-.11,.02,-.11,-.05,-.25,-.28,-.14,-.13,-.07,-.25,-.08,-.14
1956,-.13,-.24,-.21,-.28,-.29,-.15,-.09,-.26,-.19,-.23,-.14,-.06,-.19,-.21,-.22,-.26,-.17,-.19
1957,-.09,-.03,-.05,.00,.09,.16,.02,.15,.09,.01,.08,.15,.05,.03,-.06,.01,.11,.06
1958,.39,.22,.09,.02,.06,-.08,.05,-.05,-.02,.04,.02,.01,.06,.07,.26,.05,-.03,.01
1959,.08,.07,.18,.16,.04,.03,.03,-.01,-.06,-.07,-.08,.00,.03,.03,.05,.13,.02,-.07
1960,.00,.13,-.35,-.15,-.08,-.04,-.04,.02,.07,.06,-.11,.19,-.02,-.04,.04,-.19,-.02,.00
1961,.07,.19,.09,.13,.12,.11,.01,.01,.08,.00,.03,-.16,.06,.09,.15,.11,.04,.04
1962,.05,.15,.10,.05,-.06,.03,.02,-.01,.00,.01,.06,-.03,.03,.02,.01,.03,.01,.02
1963,-.03,.18,-.14,-.07,-.06,.05,.06,.23,.18,.15,.15,-.03,.05,.05,.04,-.09,.11,.16
1964,-.09,-.10,-.21,-.32,-.25,-.04,-.04,-.22,-.29,-.31,-.21,-.30,-.20,-.18,-.07,-.26,-.10,-.27
1965,-.08,-.17,-.13,-.19,-.12,-.08,-.13,-.04,-.15,-.05,-.06,-.08,-.11,-.12,-.18,-.14,-.08,-.09
1966,-.19,-.04,.03,-.13,-.12,.01,.08,-.09,-.03,-.17,-.01,-.03,-.06,-.06,-.11,-.07,.00,-.07
1967,-.07,-.21,.05,-.05,.12,-.08,.02,.01,-.06,.09,-.05,-.05,-.02,-.02,-.10,.04,-.02,-.01
1968,-.26,-.14,.20,-.06,-.14,-.09,-.13,-.09,-.19,.09,-.05,-.14,-.08,-.08,-.15,.00,-.10,-.05
1969,-.11,-.18,.01,.17,.18,.03,-.04,.04,.08,.09,.12,.25,.05,.02,-.14,.12,.01,.10
1970,.08,.22,.06,.05,-.04,-.03,.01,-.10,.12,.03,.02,-.12,.03,.06,.18,.03,-.04,.06
1971,-.03,-.15,-.18,-.07,-.05,-.17,-.08,-.01,-.06,-.04,-.07,-.08,-.08,-.09,-.10,-.10,-.08,-.06
1972,-.23,-.18,.02,.00,-.03,.04,.01,.16,.02,.08,.02,.18,.01,-.01,-.16,.00,.07,.04
1973,.29,.32,.29,.27,.22,.18,.12,.05,.09,.10,.04,-.07,.16,.18,.26,.26,.12,.08
1974,-.10,-.27,-.05,-.12,-.04,-.05,-.03,.10,-.08,-.06,-.08,-.08,-.07,-.07,-.14,-.07,.01,-.07
1975,.10,.08,.12,.04,.16,-.01,-.01,-.17,-.03,-.11,-.17,-.17,-.01,-.01,.03,.11,-.06,-.10
1976,-.03,-.06,-.22,-.07,-.21,-.12,-.10,-.12,-.07,-.24,-.06,.11,-.10,-.12,-.09,-.17,-.11,-.12
1977,.18,.22,.24,.26,.33,.27,.20,.18,.02,.03,.16,.03,.18,.18,.17,.28,.22,.07
1978,.06,.10,.19,.17,.09,-.01,.04,-.13,.06,.03,.14,.08,.07,.06,.06,.15,-.04,.08
1979,.08,-.10,.19,.15,.04,.14,.04,.16,.25,.26,.28,.48,.16,.13,.02,.13,.11,.26
1980,.30,.39,.30,.30,.35,.20,.22,.18,.20,.13,.29,.21,.26,.28,.39,.32,.20,.21
1981,.53,.42,.48,.32,.24,.29,.32,.35,.15,.12,.23,.41,.32,.31,.39,.35,.32,.16
1982,.05,.15,.03,.15,.18,.05,.15,.03,.14,.13,.18,.43,.14,.14,.20,.12,.08,.15
1983,.53,.43,.41,.27,.34,.22,.18,.35,.37,.17,.30,.16,.31,.33,.46,.34,.25,.28
1984,.31,.14,.26,.06,.33,.02,.19,.19,.21,.14,.07,-.04,.15,.17,.20,.21,.13,.14
1985,.22,-.04,.17,.12,.14,.15,.04,.16,.13,.11,.05,.14,.12,.10,.05,.14,.12,.10
1986,.26,.37,.30,.22,.21,.12,.11,.16,.03,.15,.10,.13,.18,.18,.26,.24,.13,.09
1987,.32,.43,.18,.24,.25,.35,.40,.25,.35,.32,.29,.46,.32,.29,.29,.23,.33,.32
1988,.56,.44,.51,.42,.44,.40,.33,.39,.37,.38,.12,.29,.39,.40,.49,.46,.37,.29
1989,.12,.30,.36,.29,.17,.15,.34,.33,.34,.29,.19,.37,.27,.26,.24,.27,.27,.27
1990,.41,.43,.80,.56,.45,.37,.45,.34,.23,.44,.46,.40,.45,.44,.41,.60,.39,.38
1991,.42,.49,.35,.51,.34,.53,.47,.39,.44,.28,.29,.32,.40,.41,.44,.40,.46,.34
1992,.47,.40,.48,.27,.31,.25,.08,.08,-.01,.06,.02,.21,.22,.23,.40,.35,.14,.02
1993,.34,.37,.36,.27,.28,.22,.25,.11,.11,.22,.03,.18,.23,.23,.31,.30,.19,.12
1994,.26,.02,.29,.41,.27,.43,.30,.21,.31,.42,.44,.38,.31,.29,.15,.32,.31,.39
1995,.52,.79,.46,.46,.27,.43,.45,.45,.33,.47,.44,.25,.44,.45,.56,.40,.44,.41
1996,.24,.45,.32,.33,.27,.28,.36,.48,.25,.19,.38,.37,.33,.32,.32,.31,.38,.27
1997,.30,.40,.51,.33,.34,.54,.33,.41,.52,.60,.64,.59,.46,.44,.36,.40,.43,.59
1998,.58,.87,.63,.63,.67,.77,.65,.65,.41,.41,.43,.54,.60,.61,.68,.64,.69,.42
1999,.48,.63,.32,.32,.26,.36,.38,.31,.38,.33,.37,.41,.38,.39,.55,.30,.35,.36
2000,.24,.55,.55,.56,.35,.40,.39,.42,.38,.26,.30,.28,.39,.40,.40,.49,.40,.31
2001,.45,.44,.55,.50,.57,.52,.59,.49,.51,.50,.72,.55,.53,.51,.39,.54,.53,.58
2002,.77,.78,.88,.58,.64,.52,.61,.53,.63,.53,.58,.44,.62,.63,.70,.70,.55,.58
2003,.74,.58,.59,.55,.60,.47,.58,.64,.62,.72,.53,.75,.61,.59,.59,.58,.56,.62
2004,.58,.72,.63,.61,.37,.44,.26,.45,.49,.60,.72,.50,.53,.55,.68,.53,.38,.60
2005,.74,.60,.74,.67,.63,.64,.61,.60,.71,.74,.73,.68,.67,.66,.61,.68,.62,.73
2006,.56,.73,.63,.46,.47,.66,.53,.70,.65,.69,.73,.79,.63,.62,.65,.52,.63,.69
2007,1.02,.70,.72,.76,.68,.61,.59,.60,.59,.58,.59,.49,.66,.69,.83,.72,.60,.59
2008,.30,.38,.74,.53,.49,.48,.60,.45,.61,.66,.68,.54,.54,.54,.39,.59,.51,.65
2009,.64,.52,.53,.61,.65,.64,.73,.69,.71,.65,.79,.67,.65,.64,.57,.60,.69,.72
2010,.75,.83,.92,.84,.75,.68,.63,.67,.63,.70,.81,.44,.72,.74,.75,.84,.66,.72
2011,.52,.48,.65,.65,.53,.62,.70,.75,.56,.65,.58,.60,.61,.59,.48,.61,.69,.60
2012,.49,.49,.58,.72,.78,.64,.58,.66,.72,.79,.78,.53,.65,.65,.53,.69,.63,.76
2013,.71,.62,.67,.53,.61,.69,.60,.69,.76,.69,.83,.69,.67,.66,.62,.60,.66,.76
2014,.76,.55,.78,.79,.86,.67,.58,.83,.87,.80,.66,.78,.74,.74,.67,.81,.69,.78
2015,.85,.90,.96,.76,.80,.81,.73,.79,.85,1.09,1.06,1.16,.89,.86,.84,.84,.77,1.00
2016,1.17,1.36,1.35,1.10,.95,.79,.84,1.02,.90,.88,.92,.86,1.01,1.04,1.23,1.13,.88,.90
2017,1.02,1.13,1.16,.94,.91,.71,.81,.87,.76,.90,.88,.93,.92,.91,1.00,1.00,.80,.85
2018,.82,.85,.88,.88,.82,.76,.82,.77,.80,1.02,.82,.91,.85,.85,.86,.86,.78,.88
2019,.93,.95,1.17,1.01,.85,.90,.94,.95,.92,1.01,.99,1.09,.97,.96,.93,1.01,.93,.97
2020,1.17,1.24,1.17,1.12,1.01,.91,.89,.87,.98,.88,1.10,.81,1.01,1.04,1.17,1.10,.89,.99
2021,.81,.64,.88,.75,.78,.84,.92,.82,.92,1.00,.93,.85,.84,.84,.75,.81,.86,.95
2022,.91,.89,1.05,.83,.83,.92,.93,.95,.89,.97,.72,.79,.89,.89,.88,.90,.93,.86
2023,.86,.97,1.20,.99,.93,1.07,1.18,1.19,1.47,***,***,***,***,***,.88,1.04,1.15,***
